title,description,salary,type,company,category,country,applyLink,location,status
Backend Python Developer (APIs & Integrations),Join Segadty as a Backend Python Developer (APIs & Integrations). This role requires relevant experience and skills in the field.,Competitive,full-time,Segadty,web-development,Egypt,https://eg.linkedin.com/jobs/view/backend-python-developer-apis-integrations-at-segadty-4402263202,"Cairo, Cairo, Egypt",active
Salesforce Software Engineer,Join Siemens EDA (Siemens Digital Industries Software) as a Salesforce Software Engineer. This role requires relevant experience and skills in the field.,Competitive,full-time,Siemens EDA (Siemens Digital Industries Software),lead-generation,Egypt,https://eg.linkedin.com/jobs/view/salesforce-software-engineer-at-siemens-eda-siemens-digital-industries-software-4413804414,"Cairo, Cairo, Egypt",active
Senior Backend Developer,Join Tether.io as a Senior Backend Developer. This role requires relevant experience and skills in the field.,Competitive,full-time,Tether.io,web-development,Egypt,https://eg.linkedin.com/jobs/view/senior-backend-developer-at-tether-io-4384862949,Egypt,active
Python Developer,Join Fekra Technologies as a Python Developer. This role requires relevant experience and skills in the field.,Competitive,full-time,Fekra Technologies,consulting,Egypt,https://eg.linkedin.com/jobs/view/python-developer-at-fekra-technologies-4437143603,Egypt,active
Mid-level Software engineer,Join geidea as a Mid-level Software engineer. This role requires relevant experience and skills in the field.,Competitive,full-time,geidea,consulting,Egypt,https://eg.linkedin.com/jobs/view/mid-level-software-engineer-at-geidea-4433093310,"Cairo, Egypt",active
AI Engineer,Join NoGood as a AI Engineer. This role requires relevant experience and skills in the field.,Competitive,full-time,NoGood,consulting,Egypt,https://eg.linkedin.com/jobs/view/ai-engineer-at-nogood-4411209120,"Cairo, Cairo, Egypt",active
"Deloitte Innovation Hub I Full Stack Tech Lead, Cairo, Egypt","Join Deloitte as a Deloitte Innovation Hub I Full Stack Tech Lead, Cairo, Egypt. This role requires relevant experience and skills in the field.",Competitive,full-time,Deloitte,web-development,Egypt,https://eg.linkedin.com/jobs/view/deloitte-innovation-hub-i-full-stack-tech-lead-cairo-egypt-at-deloitte-4150519315,"Cairo, Cairo, Egypt",active
Senior Software Development Engineer,Join Sahl as a Senior Software Development Engineer. This role requires relevant experience and skills in the field.,Competitive,full-time,Sahl,consulting,Egypt,https://eg.linkedin.com/jobs/view/senior-software-development-engineer-at-sahl-4423507225,"6th of October, Al Jizah, Egypt",active
Senior Back End Developer,Join DNEXT Intelligence SA as a Senior Back End Developer. This role requires relevant experience and skills in the field.,Competitive,full-time,DNEXT Intelligence SA,consulting,Egypt,https://eg.linkedin.com/jobs/view/senior-back-end-developer-at-dnext-intelligence-sa-4437154104,Egypt,active
Salesforce Developer (Hybrid),Join IQVIA as a Salesforce Developer (Hybrid). This role requires relevant experience and skills in the field.,Competitive,hybrid,IQVIA,lead-generation,Egypt,https://eg.linkedin.com/jobs/view/salesforce-developer-hybrid-at-iqvia-4412569440,"New Heliopolis, Cairo, Egypt",active
Solutions Developer,Join MedNet Egypt L.L.C as a Solutions Developer. This role requires relevant experience and skills in the field.,Competitive,full-time,MedNet Egypt L.L.C,consulting,Egypt,https://eg.linkedin.com/jobs/view/solutions-developer-at-mednet-egypt-l-l-c-4435565823,"Cairo, Egypt",active
Junior Mobile Developer,Join blnk as a Junior Mobile Developer. This role requires relevant experience and skills in the field.,Competitive,full-time,blnk,android-development,Egypt,https://eg.linkedin.com/jobs/view/junior-mobile-developer-at-blnk-4354048765,"Giza, Al Jizah, Egypt",active
Mobile Developer - React Native,Join invygo as a Mobile Developer - React Native. This role requires relevant experience and skills in the field.,Competitive,full-time,invygo,android-development,Egypt,https://eg.linkedin.com/jobs/view/mobile-developer-react-native-at-invygo-4426787986,"Cairo, Cairo, Egypt",active
Odoo Developer,Join JOIN Solutions as a Odoo Developer. This role requires relevant experience and skills in the field.,Competitive,full-time,JOIN Solutions,consulting,Egypt,https://eg.linkedin.com/jobs/view/odoo-developer-at-join-solutions-4425812592,"Cairo, Egypt",active
Software Engineer (Full-stack),Join kapa.ai as a Software Engineer (Full-stack). This role requires relevant experience and skills in the field.,Competitive,full-time,kapa.ai,consulting,Egypt,https://eg.linkedin.com/jobs/view/software-engineer-full-stack-at-kapa-ai-4231624252,Egypt,active
Software Engineer (DevOps/SRE),Join Bayzat as a Software Engineer (DevOps/SRE). This role requires relevant experience and skills in the field.,Competitive,full-time,Bayzat,computer-networking,Egypt,https://eg.linkedin.com/jobs/view/software-engineer-devops-sre-at-bayzat-4402536657,Egypt,active
"Staff Back-End Engineer ""Node j.s""","Join Yassir as a Staff Back-End Engineer ""Node j.s"". This role requires relevant experience and skills in the field.",Competitive,full-time,Yassir,consulting,Egypt,https://eg.linkedin.com/jobs/view/staff-back-end-engineer-node-j-s-at-yassir-4387460022,"Alexandria, Alexandria, Egypt",active
